Where do you live?	I live in Pasadena.
I also want to have a look at a dress, I need one for my little sister's wedding.	This morning we received some that you might like.
I want something classic.	They're very elegant.
That's what I'm looking for.	Follow me, please.
Oh! They're really elegant.	I think you'll look great in this one. Would you like to try it on?
You were right. I like it. I'm going to have it..	There is no need to alter anything. It is as though it had been made to measure.
You've been a great help. Thanks a lot.	Don't mention it.
Good morning, Professor Austin, how are you doing?	Good morning, James. I am doing well. And you?
I'm great, thank you. This is my friend Emma. She is thinking about applying to this college. She has a few questions. Would you mind telling us about the process, please?	Hello, Emma! It's a pleasure to meet you. I'm more than happy to speak with you. Please stop by my office next week.
It's a pleasure to meet you, professor. Thank you so much for helping us.	Don't mention it. Hopefully, I will be able to answer your questions!
Hi, Helen! How's it going?	Fine, thanks   and you?
Just fine. Where are you off to?	To the library. I've got a history exam next week and need to start studying. Ugh.
Oh, no. Well, I'll see you later then. Good luck!	Thanks. See you later.
Mr. Wilson, I'd like you to meet Dr. Edward Smith.	It's nice to meet you, Dr. Smith.
Pleasure to meet you, too.	Dr. Smith is an economist. He just finished writing a book on international trade.
Oh? That's my field, too. I work for the United Nations.	In the Development Program, by any chance?
Yes. How did you guess?	I've read your articles on technical assistance. They're excellent.
Who's the tall woman next to Barbara?	That's her friend Mary. Didn't you meet her at Steve's party?
No, I wasn't at Steve's party.	Oh! Then let me introduce you to her now. Mary, this is my friend Jim.
Hi, Jim. Nice to meet you.	You, too. Would you like a drink?
You, too. Would you like a drink?	Sure, let's go get one.
What time is it? We're going to be late!	It's a quarter after seven. We're on time. Don't panic.
But I thought we had to be at the restaurant by 7:30 for the surprise party. We'll never make it there with all this evening traffic.	Sure we will. Rush hour is almost over. Anyway, the party starts at 8:00. But I do need help with directions. Can you call the restaurant and ask them where we park our car?
Hi, Alice, it's John. How are you?	Oh, hi, John! I was just thinking about you.
That's nice. I was wondering if you'd like to go to a movie tonight.	Sure, I'd love to! What's playing?
I was thinking about that new comedy Lights Out. What do you think?	Sounds great!
OK, I'll pick you up around 7:30. The movie starts at 8:00.	See you then. Bye!
Hello? Hi, Stephanie, how are things at the office?	Hi, Luke! How are you? Can you please stop and pick up extra paper for the computer printer?
What did you say? Can you repeat that, please? Did you say to pick up ink for the printer? Sorry, the phone is cutting out.	Can you hear me now? No, I need more computer paper. Listen, I'll text you exactly what I need. Thanks, Luke. Talk to you later.
Thanks, Luke. Talk to you later.	Thanks, Stephanie. Sorry, my phone has really bad reception here.
Well, hello there, Julia! Long time no see!	Meg! Hi! What a coincidence! I haven't seen you in ages! What are you doing here?
I just got a new job in the city, so I'm shopping for some clothes. Hey, what do you think of this shirt?	Hmmm, well, you know how much I love blue. See? I've got the same shirt!
Hmmm, well, you know how much I love blue. See? I've got the same shirt!	You always did have good taste! What a small world.
It's freezing outside! What happened to the weather report? I thought this cold front was supposed to pass.	Yeah, I thought so too. That's what I read online this morning.
I guess the wind chill is really driving down the temperature.	Can we go inside? I feel like my toes are starting to go numb.
Hello, I'll be your waiter today. Can I start you off with something to drink?	Yes. I'll have iced tea, please.
And I'll have lemonade.	OK. Are you ready to order, or do you need a few minutes?
I think we're ready. I'll have the tomato soup to start, and the roast beef with mashed potatoes and peas.	How do you want the beef   rare, medium, or well done?
Well done, please.	And I'll just have the fish, with potatoes and a salad.
What seems to be the problem?	Well, I have a bad cough and a sore throat. I also have a headache.
How long have you had these symptoms?	About three days now. And I'm really tired, too.
Hmm. It sounds like you've got the flu. Take aspirin every four hours and get plenty of rest. Make sure you drink lots of fluids. Call me if you're still sick next week.	OK, thanks.
Excuse me. Could you tell me where the library is?	Yes, it's that way. You go three blocks to Washington Street, then turn right. It's on the corner, across from the bank.
Thanks! I've only been in town a few days, so I really don't know my way around yet.	Oh, I know how you feel. We moved here a year ago, and I still don't know where everything is!
Hey! That car just ran a red light and hit that truck!	Is anyone hurt?
I don't know. let's call 911. Hello? I'd like to report a car accident near the post office on Charles Street. It looks like a man is hurt. Yes, it just happened. OK, thanks. Bye.	What did they say?
They're going to send an ambulance and a police car right away.	Good, they're here. I hope the man is OK.
Good, they're here. I hope the man is OK.	I know. You have to be so careful when you're driving.
Hey, Julia! Look at those desserts! How about baking some cookies today?	Hmm, Yeah, that's a great idea! While we're here, let's pick up the ingredients.
OK, what do we need?	The recipe calls for flour, sugar and butter. Oh, and we also need eggs and chocolate chips.
Why don't you get the dairy ingredients? You'll find those in the refrigerated section in the back of the store. I'll get the dry ingredients - they're in aisle 10.	Great! Let's meet at the checkout.
Great! Let's meet at the checkout.	OK. See you there.
Hi, there. How can I help you?	Well, I'm in town visiting for a few days, and I need to get some things done while I'm here.
Sure. What do you need?	I need to get my hair cut. I also need to have my new pants hemmed.
OK. Here's a map of the city. There's a good hair salon here, which is just a block away. And there's a tailor right here. Is there anything else?	Yes. I'll need to have my car serviced before my long drive home!
Yes. I'll need to have my car serviced before my long drive home!	No problem. There's a good mechanic a few blocks away.
What can I do for you today?	I need to mail this package to New York, please.
OK, let's see how much it weighs, it's about five pounds. If you send it express, it will get there tomorrow. Or you can send it priority and it will get there by Saturday.	Saturday is fine. How much will that be?
